,id,age,gender,size,breed
119,43996254,Adult,Male,Large,Abyssinian
120,43996251,Adult,Male,Large,Abyssinian
121,43916776,Adult,Female,Medium,Abyssinian
122,43836111,Baby,Female,Medium,Abyssinian
123,43636350,Senior,Female,Small,Abyssinian
124,43628379,Baby,Male,Medium,Abyssinian
125,43540603,Adult,Female,Medium,Abyssinian
126,43357452,Young,Female,Large,Abyssinian
127,43340305,Young,Male,Medium,Abyssinian
128,43330119,Adult,Male,Medium,Abyssinian
129,43296750,Young,Female,Medium,Abyssinian
130,43212423,Adult,Male,Medium,Abyssinian
131,43093608,Adult,Female,Medium,Abyssinian
132,43079908,Adult,Male,Medium,Abyssinian
133,42994271,Young,Female,Medium,Abyssinian
134,42991210,Adult,Female,Medium,Abyssinian
135,42941031,Baby,Female,Medium,Abyssinian
136,42878823,Senior,Female,Medium,Abyssinian
137,42854731,Baby,Female,Medium,Abyssinian
138,42854726,Baby,Female,Medium,Abyssinian
139,42854719,Young,Male,Medium,Abyssinian
140,42836753,Young,Male,Medium,Abyssinian
141,42791505,Adult,Male,Large,Abyssinian
142,42635732,Adult,Female,Medium,Abyssinian
143,42574402,Young,Male,Medium,Abyssinian
144,42549203,Senior,Female,Medium,Abyssinian
145,42509412,Young,Female,Medium,Abyssinian
146,42475197,Young,Female,Medium,Abyssinian
147,42473567,Young,Female,Small,Abyssinian
148,42363624,Young,Male,Medium,Abyssinian
149,42330399,Baby,Female,Medium,Abyssinian
150,42322273,Senior,Female,Medium,Abyssinian
151,42301282,Adult,Female,Medium,Abyssinian
152,42245161,Young,Male,Medium,Abyssinian
153,42231248,Senior,Female,Medium,Abyssinian
154,42217863,Baby,Female,Medium,Abyssinian
155,42217535,Young,Female,Medium,Abyssinian
156,42208125,Baby,Male,Medium,Abyssinian
157,42207893,Baby,Male,Medium,Abyssinian
158,42207414,Baby,Female,Medium,Abyssinian
159,42097611,Adult,Female,Medium,Abyssinian
160,42085957,Baby,Male,Medium,Abyssinian
161,42084650,Adult,Female,Small,Abyssinian
162,42060144,Adult,Female,Medium,Abyssinian
163,42060140,Adult,Female,Medium,Abyssinian
164,41980763,Baby,Female,Small,Abyssinian
165,41928474,Adult,Female,Medium,Abyssinian
166,41728586,Senior,Male,Small,Abyssinian
167,41724260,Young,Male,Large,Abyssinian
168,41664634,Adult,Male,Medium,Abyssinian
169,41585829,Baby,Female,Medium,Abyssinian
170,41524523,Adult,Male,Medium,Abyssinian
171,41451716,Adult,Female,Medium,Abyssinian
172,41421136,Young,Female,Medium,Abyssinian
173,41384300,Young,Male,Medium,Abyssinian
174,41384239,Young,Male,Medium,Abyssinian
175,41374422,Baby,Male,Medium,Abyssinian
176,41232070,Adult,Male,Medium,Abyssinian
177,41216445,Young,Female,Small,Abyssinian
178,41114100,Baby,Male,Medium,Abyssinian
179,40858479,Adult,Female,Small,Abyssinian
180,40832566,Young,Female,Medium,Abyssinian
181,40763788,Senior,Male,Small,Abyssinian
182,40723073,Adult,Female,Small,Abyssinian
183,40645592,Baby,Male,Medium,Abyssinian
184,40580381,Adult,Female,Small,Abyssinian
185,40546125,Adult,Female,Small,Abyssinian
186,40546066,Senior,Female,Medium,Abyssinian
187,40526121,Young,Male,Medium,Abyssinian
188,40434029,Adult,Female,Small,Abyssinian
189,40181161,Young,Female,Medium,Abyssinian
190,40015130,Senior,Female,Medium,Abyssinian
191,39927304,Young,Female,Medium,Abyssinian
192,39897432,Young,Male,Medium,Abyssinian
193,39792133,Adult,Male,Medium,Abyssinian
194,39791900,Senior,Male,Medium,Abyssinian
195,39704178,Adult,Female,Medium,Abyssinian
196,39673539,Adult,Female,Medium,Abyssinian
197,39664255,Adult,Female,Small,Abyssinian
198,39657087,Young,Male,Small,Abyssinian
199,39547419,Young,Male,Small,Abyssinian
200,39546612,Young,Male,Medium,Abyssinian
201,39546593,Young,Male,Medium,Abyssinian
202,39546534,Young,Male,Medium,Abyssinian
203,39510480,Adult,Male,Large,Abyssinian
204,39500951,Adult,Female,Small,Abyssinian
205,39458626,Young,Female,Medium,Abyssinian
206,39385717,Adult,Male,Medium,Abyssinian
207,39321109,Young,Female,Small,Abyssinian
208,39264705,Senior,Male,Medium,Abyssinian
209,39260012,Baby,Female,Small,Abyssinian
210,39169887,Young,Female,Medium,Abyssinian
211,39125347,Adult,Male,Large,Abyssinian
212,38956992,Young,Male,Small,Abyssinian
213,38954646,Young,Male,Small,Abyssinian
214,38943898,Young,Female,Medium,Abyssinian
215,38901579,Young,Male,Medium,Abyssinian
216,38855140,Baby,Female,Medium,Abyssinian
217,38768833,Young,Female,Medium,Abyssinian
218,38749993,Adult,Female,Medium,Abyssinian
219,38713348,Young,Female,Small,Abyssinian
220,38709675,Adult,Male,Medium,Abyssinian
221,38701119,Adult,Male,Large,Abyssinian
222,38670660,Senior,Female,Medium,Abyssinian
223,38646425,Adult,Female,Small,Abyssinian
224,38643353,Adult,Male,Large,Abyssinian
225,38554587,Senior,Female,Medium,Abyssinian
226,38536967,Adult,Male,Medium,Abyssinian
227,38536938,Adult,Male,Medium,Abyssinian
228,38514815,Adult,Male,Medium,Abyssinian
229,38400864,Young,Female,Small,Abyssinian
230,38036164,Baby,Female,Medium,Abyssinian
231,37942697,Young,Female,Large,Abyssinian
232,37865356,Adult,Male,Large,Abyssinian
233,37771828,Senior,Male,Medium,Abyssinian
234,37673424,Senior,Female,Medium,Abyssinian
235,36865042,Senior,Male,Medium,Abyssinian
236,35374431,Young,Male,Medium,Abyssinian
237,35021741,Adult,Male,Medium,Abyssinian
238,17870903,Adult,Female,Small,Abyssinian
239,17704905,Adult,Female,Medium,Abyssinian
240,17361971,Baby,Female,Medium,Abyssinian
241,17361980,Baby,Female,Medium,Abyssinian
242,17060240,Adult,Female,Medium,Abyssinian
243,17041760,Young,Female,Medium,Abyssinian
244,16734355,Young,Male,Large,Abyssinian
245,16485182,Adult,Male,Large,Abyssinian
246,14475392,Young,Unknown,Medium,Abyssinian
247,14210840,Young,Female,Extra Large,Abyssinian
248,14092337,Adult,Male,Large,Abyssinian
249,13743713,Adult,Female,Medium,Abyssinian
250,12136161,Young,Female,Small,Abyssinian
251,8736168,Adult,Male,Medium,Abyssinian
252,8225343,Adult,Male,Small,Abyssinian
253,46750544,Adult,Female,Medium,American Bobtail
254,46711372,Adult,Female,Small,American Bobtail
255,46652156,Baby,Male,Medium,American Bobtail
256,46627369,Baby,Male,Small,American Bobtail
257,46612353,Baby,Female,Small,American Bobtail
258,46612245,Baby,Male,Small,American Bobtail
259,46422322,Baby,Male,Small,American Bobtail
260,46407834,Young,Male,Medium,American Bobtail
261,46407781,Young,Male,Medium,American Bobtail
262,46367619,Young,Female,Medium,American Bobtail
263,46355896,Adult,Female,Medium,American Bobtail
264,46330160,Adult,Female,Medium,American Bobtail
265,46299337,Baby,Female,Medium,American Bobtail
266,46289156,Baby,Male,Large,American Bobtail
267,46194971,Young,Female,Small,American Bobtail
268,46002240,Baby,Male,Medium,American Bobtail
269,45995325,Baby,Male,Medium,American Bobtail
270,45993222,Adult,Female,Medium,American Bobtail
271,45992549,Baby,Female,Medium,American Bobtail
272,45898187,Adult,Male,Large,American Bobtail
273,45859400,Adult,Male,Medium,American Bobtail
274,45850827,Adult,Female,Extra Large,American Bobtail
275,45819414,Adult,Male,Medium,American Bobtail
276,45819340,Adult,Female,Medium,American Bobtail
277,45819389,Adult,Male,Medium,American Bobtail
278,45814783,Adult,Male,Medium,American Bobtail
279,45762812,Adult,Male,Small,American Bobtail
280,45695191,Baby,Female,Medium,American Bobtail
281,45695163,Baby,Male,Medium,American Bobtail
282,45599205,Baby,Female,Medium,American Bobtail
283,45487778,Baby,Male,Small,American Bobtail
284,45460957,Baby,Female,Small,American Bobtail
285,45460862,Baby,Male,Small,American Bobtail
286,45401907,Baby,Male,Medium,American Bobtail
287,45398522,Baby,Female,Medium,American Bobtail
288,45397941,Adult,Female,Medium,American Bobtail
289,45381001,Baby,Female,Medium,American Bobtail
290,45380409,Baby,Female,Medium,American Bobtail
291,45380301,Baby,Female,Medium,American Bobtail
292,45344382,Young,Female,Medium,American Bobtail
293,45340614,Adult,Male,Medium,American Bobtail
294,45311781,Young,Female,Medium,American Bobtail
295,45311431,Young,Male,Small,American Bobtail
296,45310511,Baby,Male,Medium,American Bobtail
297,45295001,Baby,Female,Medium,American Bobtail
298,45238104,Young,Female,Small,American Bobtail
299,45237824,Adult,Male,Large,American Bobtail
300,45118817,Baby,Male,Medium,American Bobtail
301,45103436,Baby,Female,Medium,American Bobtail
302,45103435,Young,Male,Medium,American Bobtail
303,44921814,Adult,Male,Large,American Bobtail
304,44875452,Adult,Female,Medium,American Bobtail
305,44810816,Adult,Male,Large,American Bobtail
306,44764186,Adult,Male,Medium,American Bobtail
307,44762069,Baby,Female,Medium,American Bobtail
308,44719213,Baby,Male,Medium,American Bobtail
309,44701357,Baby,Female,Small,American Bobtail
310,44694807,Baby,Female,Medium,American Bobtail
311,44678560,Adult,Male,Large,American Bobtail
312,44636872,Baby,Male,Medium,American Bobtail
313,44601068,Adult,Male,Medium,American Bobtail
314,44559150,Adult,Female,Medium,American Bobtail
315,44477468,Young,Female,Small,American Bobtail
316,44476641,Adult,Female,Small,American Bobtail
317,44466572,Adult,Female,Medium,American Bobtail
318,44331214,Adult,Male,Large,American Bobtail
319,44231762,Adult,Female,Medium,American Bobtail
320,44214714,Adult,Female,Large,American Bobtail
321,44204429,Baby,Male,Medium,American Bobtail
322,44051338,Baby,Female,Medium,American Bobtail
323,44004421,Adult,Male,Medium,American Bobtail
324,43965366,Baby,Male,Medium,American Bobtail
325,43945222,Young,Male,Large,American Bobtail
326,43898682,Adult,Female,Medium,American Bobtail
327,43892093,Young,Male,Medium,American Bobtail
328,43710498,Young,Male,Extra Large,American Bobtail
329,43677125,Baby,Female,Medium,American Bobtail
330,43512840,Adult,Female,Large,American Bobtail
331,43512822,Baby,Male,Medium,American Bobtail
332,43512814,Baby,Female,Medium,American Bobtail
333,43512805,Baby,Male,Medium,American Bobtail
334,43500599,Baby,Male,Medium,American Bobtail
335,43418896,Young,Male,Small,American Bobtail
336,43411078,Senior,Female,Small,American Bobtail
337,43374782,Baby,Male,Medium,American Bobtail
338,43277968,Baby,Male,Medium,American Bobtail
339,43277679,Adult,Female,Medium,American Bobtail
340,43277645,Baby,Female,Medium,American Bobtail
341,43258691,Baby,Male,Small,American Bobtail
342,43258669,Baby,Female,Small,American Bobtail
343,43237488,Adult,Female,Medium,American Bobtail
344,43203677,Adult,Female,Medium,American Bobtail
345,43199410,Young,Male,Medium,American Bobtail
346,43104550,Young,Male,Medium,American Bobtail
347,43041065,Baby,Male,Medium,American Bobtail
348,43041064,Baby,Male,Medium,American Bobtail
349,43029697,Adult,Female,Medium,American Bobtail
350,43027095,Young,Male,Medium,American Bobtail
351,42974126,Baby,Female,Medium,American Bobtail
352,42965386,Young,Male,Medium,American Bobtail
353,42929187,Baby,Male,Medium,American Bobtail
354,42915710,Young,Male,Medium,American Bobtail
355,42914191,Baby,Male,Medium,American Bobtail
356,42903823,Young,Female,Medium,American Bobtail
357,42840702,Young,Male,Medium,American Bobtail
358,42832052,Adult,Female,Small,American Bobtail
359,42832037,Adult,Female,Small,American Bobtail
360,42831994,Adult,Female,Small,American Bobtail
361,42812831,Adult,Female,Small,American Bobtail
362,42808040,Baby,Female,Medium,American Bobtail
363,42789280,Young,Male,Medium,American Bobtail
364,42781654,Baby,Male,Medium,American Bobtail
365,42680326,Baby,Male,Medium,American Bobtail
366,42680323,Baby,Female,Medium,American Bobtail
367,42652960,Young,Male,Medium,American Bobtail
368,42578821,Baby,Male,Medium,American Bobtail
369,42551262,Baby,Male,Medium,American Bobtail
370,42549784,Baby,Male,Small,American Bobtail
371,42540533,Young,Male,Small,American Bobtail
372,42474554,Baby,Female,Medium,American Bobtail
373,42421890,Adult,Male,Medium,American Bobtail
374,42406524,Adult,Male,Large,American Bobtail
375,42363207,Adult,Female,Medium,American Bobtail
376,42353869,Adult,Female,Medium,American Bobtail
377,42145189,Adult,Male,Large,American Bobtail
378,42071715,Baby,Male,Medium,American Bobtail
379,42071630,Baby,Female,Medium,American Bobtail
380,42067572,Young,Female,Medium,American Bobtail
381,42066827,Adult,Male,Small,American Bobtail
382,42033026,Baby,Male,Medium,American Bobtail
383,42015430,Adult,Male,Large,American Bobtail
384,42007303,Baby,Female,Medium,American Bobtail
385,41856614,Adult,Male,Large,American Bobtail
386,41808253,Young,Female,Small,American Bobtail
387,41798427,Senior,Male,Medium,American Bobtail
388,41758917,Adult,Male,Medium,American Bobtail
389,41545940,Senior,Female,Medium,American Bobtail
390,41536478,Baby,Female,Medium,American Bobtail
391,41515316,Baby,Female,Small,American Bobtail
392,41515311,Baby,Female,Small,American Bobtail
393,41512261,Adult,Male,Large,American Bobtail
394,41235884,Adult,Male,Medium,American Bobtail
395,41228383,Adult,Male,Medium,American Bobtail
396,41201462,Adult,Female,Large,American Bobtail
397,41194406,Adult,Male,Medium,American Bobtail
398,41177980,Young,Female,Medium,American Bobtail
399,41175606,Adult,Male,Medium,American Bobtail
400,41135094,Senior,Female,Large,American Bobtail
401,41034365,Adult,Female,Medium,American Bobtail
402,40945879,Adult,Male,Medium,American Bobtail
403,40927628,Adult,Female,Medium,American Bobtail
404,40926835,Young,Female,Medium,American Bobtail
405,40926194,Adult,Female,Medium,American Bobtail
406,40880497,Adult,Female,Medium,American Bobtail
407,40793644,Baby,Female,Medium,American Bobtail
408,40793626,Baby,Female,Medium,American Bobtail
409,40704421,Young,Female,Medium,American Bobtail
410,40647271,Adult,Male,Medium,American Bobtail
411,40609784,Baby,Female,Medium,American Bobtail
412,40600275,Baby,Female,Small,American Bobtail
413,40593987,Baby,Female,Small,American Bobtail
414,40593895,Young,Female,Small,American Bobtail
415,40566859,Adult,Female,Large,American Bobtail
416,40562983,Adult,Female,Medium,American Bobtail
417,40343268,Senior,Male,Medium,American Bobtail
418,40108727,Baby,Female,Medium,American Bobtail
419,40108707,Young,Male,Medium,American Bobtail
420,40055291,Young,Female,Small,American Bobtail
421,40026127,Baby,Male,Medium,American Bobtail
422,40022896,Baby,Female,Medium,American Bobtail
423,40006007,Adult,Male,Extra Large,American Bobtail
424,39976726,Baby,Female,Medium,American Bobtail
425,39961241,Adult,Female,Small,American Bobtail
426,39932559,Young,Female,Medium,American Bobtail
427,39907523,Baby,Female,Medium,American Bobtail
428,39907450,Baby,Female,Medium,American Bobtail
429,39907409,Baby,Female,Medium,American Bobtail
430,39907172,Baby,Female,Medium,American Bobtail
431,39907112,Baby,Male,Medium,American Bobtail
432,39870858,Baby,Male,Medium,American Bobtail
433,39860065,Adult,Female,Medium,American Bobtail
434,39837438,Baby,Male,Small,American Bobtail
435,39783893,Adult,Female,Small,American Bobtail
436,39775254,Adult,Male,Medium,American Bobtail
437,39624448,Baby,Male,Medium,American Bobtail
438,39624385,Young,Female,Medium,American Bobtail
439,39561065,Baby,Female,Medium,American Bobtail
440,39544185,Baby,Male,Medium,American Bobtail
441,39544169,Baby,Male,Medium,American Bobtail
442,39544143,Baby,Male,Medium,American Bobtail
443,39517136,Baby,Female,Small,American Bobtail
444,39517126,Baby,Female,Small,American Bobtail
445,39488890,Adult,Female,Small,American Bobtail
446,39482851,Adult,Female,Small,American Bobtail
447,39481039,Baby,Male,Medium,American Bobtail
448,39455933,Young,Female,Medium,American Bobtail
449,39406366,Baby,Male,Medium,American Bobtail
450,39406349,Baby,Male,Medium,American Bobtail
451,39371737,Young,Female,Large,American Bobtail
452,39369752,Adult,Male,Large,American Bobtail
453,39316246,Adult,Female,Medium,American Bobtail
454,39265156,Adult,Male,Medium,American Bobtail
455,39256318,Baby,Male,Medium,American Bobtail
456,39229560,Baby,Female,Medium,American Bobtail
457,39210056,Baby,Male,Medium,American Bobtail
458,39201910,Adult,Female,Small,American Bobtail
459,39200983,Senior,Male,Medium,American Bobtail
460,39191393,Baby,Male,Medium,American Bobtail
461,39191388,Baby,Female,Medium,American Bobtail
462,39181752,Young,Female,Small,American Bobtail
463,39142901,Adult,Female,Small,American Bobtail
464,38987258,Baby,Female,Small,American Bobtail
465,38887530,Adult,Female,Medium,American Bobtail
466,38883421,Baby,Female,Medium,American Bobtail
467,38840239,Young,Female,Small,American Bobtail
468,38840232,Baby,Male,Medium,American Bobtail
469,38840229,Baby,Male,Medium,American Bobtail
470,38840222,Baby,Male,Medium,American Bobtail
471,38840216,Baby,Female,Medium,American Bobtail
472,38726550,Baby,Female,Medium,American Bobtail
473,38701639,Adult,Female,Medium,American Bobtail
474,38689561,Young,Female,Medium,American Bobtail
475,38642331,Adult,Female,Medium,American Bobtail
476,38610583,Young,Male,Small,American Bobtail
477,38604105,Young,Female,Medium,American Bobtail
478,38585221,Adult,Female,Medium,American Bobtail
479,38549772,Baby,Male,Medium,American Bobtail
480,38549749,Baby,Female,Medium,American Bobtail
481,38549713,Young,Female,Medium,American Bobtail
482,38539008,Adult,Female,Medium,American Bobtail
483,38508843,Baby,Male,Small,American Bobtail
484,38508741,Baby,Male,Medium,American Bobtail
485,38437970,Baby,Female,Medium,American Bobtail
486,38359170,Young,Female,Large,American Bobtail
487,38251731,Adult,Female,Medium,American Bobtail
488,38231688,Young,Female,Medium,American Bobtail
489,38221096,Young,Male,Medium,American Bobtail
490,38205084,Baby,Male,Medium,American Bobtail
491,38202884,Young,Female,Medium,American Bobtail
492,38199448,Baby,Female,Medium,American Bobtail
493,38186331,Adult,Male,Large,American Bobtail
494,38142502,Young,Female,Medium,American Bobtail
495,38101900,Adult,Female,Medium,American Bobtail
496,38042354,Young,Male,Small,American Bobtail
497,38024353,Adult,Female,Medium,American Bobtail
498,38018266,Adult,Female,Small,American Bobtail
499,38009754,Baby,Male,Medium,American Bobtail
500,38002656,Baby,Male,Small,American Bobtail
501,37990740,Baby,Female,Small,American Bobtail
502,37980964,Young,Female,Medium,American Bobtail
503,37948656,Baby,Male,Medium,American Bobtail
504,37948617,Baby,Female,Medium,American Bobtail
505,37948566,Baby,Female,Medium,American Bobtail
506,37946411,Young,Male,Medium,American Bobtail
507,37945789,Young,Female,Medium,American Bobtail
508,37770592,Senior,Female,Medium,American Bobtail
509,37733188,Young,Female,Small,American Bobtail
510,37716039,Senior,Male,Medium,American Bobtail
511,37671579,Adult,Female,Medium,American Bobtail
512,37662145,Senior,Female,Small,American Bobtail
513,37498966,Baby,Male,Medium,American Bobtail
514,37480949,Adult,Female,Medium,American Bobtail
515,37348913,Senior,Female,Medium,American Bobtail
516,37341632,Adult,Female,Medium,American Bobtail
517,37337761,Adult,Female,Medium,American Bobtail
518,37318635,Adult,Male,Large,American Bobtail
519,37296742,Baby,Female,Small,American Bobtail
520,37275567,Baby,Male,Medium,American Bobtail
521,37270251,Young,Female,Large,American Bobtail
522,37233524,Adult,Female,Medium,American Bobtail
523,37222301,Adult,Male,Medium,American Bobtail
524,37183991,Adult,Female,Medium,American Bobtail
525,37142319,Young,Male,Medium,American Bobtail
526,37094980,Young,Male,Medium,American Bobtail
527,37065918,Adult,Male,Medium,American Bobtail
528,37056447,Young,Female,Medium,American Bobtail
529,36959314,Baby,Male,Small,American Bobtail
530,36947908,Baby,Male,Medium,American Bobtail
531,36944816,Young,Female,Small,American Bobtail
532,36934284,Young,Female,Medium,American Bobtail
533,36923614,Adult,Female,Medium,American Bobtail
534,36915801,Adult,Female,Medium,American Bobtail
535,36913622,Baby,Male,Medium,American Bobtail
536,36841838,Adult,Male,Medium,American Bobtail
537,36824064,Baby,Male,Small,American Bobtail
538,36774663,Baby,Male,Medium,American Bobtail
539,36774551,Baby,Female,Medium,American Bobtail
540,36732500,Baby,Female,Medium,American Bobtail
541,36705533,Young,Female,Medium,American Bobtail
542,36700167,Adult,Female,Medium,American Bobtail
543,36664043,Adult,Male,Large,American Bobtail
544,36631433,Young,Male,Large,American Bobtail
545,36588268,Young,Female,Medium,American Bobtail
546,36579432,Baby,Female,Medium,American Bobtail
547,36568663,Adult,Female,Large,American Bobtail
548,36475679,Young,Male,Medium,American Bobtail
549,36451999,Young,Female,Medium,American Bobtail
550,36434845,Senior,Female,Large,American Bobtail
551,36324943,Young,Female,Medium,American Bobtail
552,36267778,Young,Female,Medium,American Bobtail
553,36267590,Baby,Female,Medium,American Bobtail
554,36265500,Adult,Female,Medium,American Bobtail
555,36260494,Baby,Male,Medium,American Bobtail
556,36208388,Baby,Female,Medium,American Bobtail
557,36082045,Young,Female,Medium,American Bobtail
558,36076999,Adult,Male,Medium,American Bobtail
559,36023541,Young,Female,Medium,American Bobtail
560,35970303,Adult,Female,Large,American Bobtail
561,35970151,Adult,Female,Medium,American Bobtail
562,35968347,Baby,Male,Medium,American Bobtail
563,35953037,Adult,Female,Small,American Bobtail
564,35948324,Baby,Female,Medium,American Bobtail
565,35904115,Adult,Female,Medium,American Bobtail
566,35853232,Baby,Female,Small,American Bobtail
567,35831856,Baby,Female,Medium,American Bobtail
568,35793207,Senior,Male,Medium,American Bobtail
569,35785644,Adult,Male,Large,American Bobtail
570,35770093,Baby,Female,Medium,American Bobtail
571,35728964,Young,Female,Medium,American Bobtail
572,35724614,Young,Female,Small,American Bobtail
573,35721228,Young,Female,Small,American Bobtail
574,35652643,Young,Female,Medium,American Bobtail
575,35652632,Young,Male,Medium,American Bobtail
576,35634151,Young,Female,Medium,American Bobtail
577,35569486,Adult,Female,Medium,American Bobtail
578,35546605,Baby,Female,Medium,American Bobtail
579,35524387,Adult,Female,Large,American Bobtail
580,35521664,Baby,Female,Small,American Bobtail
581,35501047,Adult,Female,Medium,American Bobtail
582,35478369,Adult,Female,Small,American Bobtail
583,35465526,Senior,Male,Large,American Bobtail
584,35465286,Baby,Female,Small,American Bobtail
585,35465143,Baby,Male,Small,American Bobtail
586,35459932,Baby,Male,Small,American Bobtail
587,35386694,Young,Male,Large,American Bobtail
588,35381678,Baby,Female,Medium,American Bobtail
589,35381660,Baby,Male,Medium,American Bobtail
590,35381647,Baby,Female,Medium,American Bobtail
591,35302569,Baby,Male,Medium,American Bobtail
592,35249152,Young,Female,Medium,American Bobtail
593,35144365,Adult,Female,Small,American Bobtail
594,35142298,Baby,Female,Medium,American Bobtail
